dataset,sigma_noise,solver,fig_k,fig_w,posterior_mean_mse_mean,swd_mean,measurement_mse_mean
two_moons,0.05,dps,0,0.0,0.0831162258982658,0.3616857230663299,0.0123519757762551
two_moons,0.05,fig_snr,5,0.5,0.5796988606452942,1.0403577089309692,0.1020797118544578
two_moons,0.05,fig_plus,5,0.5,0.0044004661031067,0.1399461925029754,0.0072787012904882
two_moons,0.5,dps,0,0.0,0.1270938366651535,0.4653834402561188,0.008514117449522
two_moons,0.5,fig_snr,5,0.0,0.0688854530453682,0.3239037692546844,0.1265072524547577
two_moons,0.5,fig_plus,3,0.5,0.0177879258990287,0.2846260964870453,0.0353670455515384
two_moons,1.0,dps,0,0.0,0.1962919235229492,0.6738331317901611,0.020012192428112
two_moons,1.0,fig_snr,5,0.5,0.0248641911894083,0.4716053009033203,0.5304080843925476
two_moons,1.0,fig_plus,5,0.0,0.0509976707398891,0.5408449769020081,0.2011914998292923
eight_gaussians,0.05,dps,0,0.0,0.3351941406726837,0.947300910949707,1.2282863855361938
eight_gaussians,0.05,fig_snr,5,0.0,3.070141077041626,1.9036866426467896,0.2852020263671875
eight_gaussians,0.05,fig_plus,5,0.0,0.0044515547342598,0.3374136388301849,0.0212898012250661
eight_gaussians,0.5,dps,0,0.0,0.2730527818202972,0.8185785412788391,1.3067418336868286
eight_gaussians,0.5,fig_snr,5,0.0,3.200444459915161,1.9550992250442505,0.9370949864387512
eight_gaussians,0.5,fig_plus,5,0.5,0.0187919121235609,0.3620193004608154,0.152857169508934
eight_gaussians,1.0,dps,0,0.0,0.2658088207244873,0.7984465956687927,1.3108816146850586
eight_gaussians,1.0,fig_snr,5,0.5,2.1356449127197266,1.6911782026290894,1.5802110433578491
eight_gaussians,1.0,fig_plus,3,0.0,0.0280769020318985,0.4292891323566437,0.8134328722953796
