dataset,solver,sigma_noise,fig_k,fig_w,posterior_mean_mse_mean,swd_mean,measurement_mse_mean
two_moons,dps,0.05,0,0.0,0.0213939528912305,0.3143649101257324,0.0024048734921962
two_moons,dps,0.5,0,0.0,27.0166015625,39.6981201171875,1.2052065134048462
two_moons,dps,1.0,0,0.0,9.170654296875,21.189271926879883,0.000679241027683
two_moons,fig_snr,0.05,5,0.0,88.59393310546875,51.804141998291016,0.0059269908815622
two_moons,fig_snr,0.5,5,0.0,4.014715194702148,38.65567398071289,0.1108695045113563
two_moons,fig_snr,1.0,5,0.0,3.8357627391815186,35.03178024291992,0.3512055575847626
two_moons,fig_plus,0.05,5,0.5,0.0223256945610046,0.2119995802640915,0.0056477580219507
two_moons,fig_plus,0.5,5,0.5,0.0176678951829671,0.3141092360019684,0.0228578094393014
two_moons,fig_plus,1.0,5,0.0,0.0190265458077192,0.5075916051864624,0.0734822526574134
eight_gaussians,dps,0.05,0,0.0,1.5123144388198853,10.208632469177246,95.71865844726562
eight_gaussians,dps,0.5,0,0.0,0.0584742240607738,2.042698621749878,0.0074451579712331
eight_gaussians,dps,1.0,0,0.0,0.1114342287182807,1.4093198776245115,0.002968487329781
eight_gaussians,fig_snr,0.05,5,0.5,126.59783935546876,28.956174850463867,0.0304146260023117
eight_gaussians,fig_snr,0.5,5,0.0,2.9111111164093018,23.2415771484375,0.2227516621351242
eight_gaussians,fig_snr,1.0,5,0.0,1.314958930015564,11.75861358642578,0.3326016366481781
eight_gaussians,fig_plus,0.05,5,0.5,0.0190605372190475,0.429625004529953,0.021873926743865
eight_gaussians,fig_plus,0.5,5,0.0,0.0117236860096454,0.3201926648616791,0.0854402408003807
eight_gaussians,fig_plus,1.0,5,0.0,0.0420943237841129,0.6346531510353088,0.0930483043193817
